[⿰⿳业丷臿殳]	鑿
攸	倏悠攸筱絛莜
改	改
敄	婺瞀蝥鍪騖骛鶩鹜
敌	敌
敎	教
敏	敏鰵鳘
敕	敕
敖	傲嗷廒敖熬獒聱螯遨鏊驁骜鰲鳌鼇
敝	幣弊彆憋撇敝斃瞥蔽蹩鱉鳖
敞	厰廠敞氅
敢	憨撖敢橄澉瞰闞阚
散	撒散潸霰饊馓
敦	墩憝敦暾燉礅鐓镦
敫	徼敫檄激竅繳缴邀
敬	儆擎敬檠警驚
数	擞数薮
敷	敷
數	擻數藪
文	坟文汶玟玫紊紋纹蚊雯
斑	斑癍
斗	抖斗蚪鈄钭
料	料
斛	斛槲
斤	听圻忻斤昕沂祈芹蕲蘄近靳頎颀
斥	坼拆斥柝
斩	堑崭惭斩暂椠渐錾
斬	塹嶄慚斬暫槧鏨
断	断簖
斯	厮嘶廝撕斯澌
新	新薪
斲	鬭
斷	斷籪
方	仿坊妨彷房放倣方枋紡纺肪舫芳訪访邡鈁钫防魴鲂
於	於淤瘀菸閼阏
施	施
斿	游蝣遊
旁	傍徬旁榜滂磅耪膀蒡螃謗谤鎊镑
旅	旅膂
旋	旋漩璇鏇镟
族	嗾族簇蔟鏃镞
无	呒妩庑怃抚无芜
既	既暨概溉
日	日汨
旦	但坦妲怛担旦疸笪胆袒鉭钽靼
旧	旧
旨	指旨脂詣诣酯
早	早
旬	峋徇恂旬殉洵筍絢绚荀詢询郇
旱	悍捍旱桿焊稈趕
时	埘时莳鲥
昂	昂
昆	崑昆棍混琨緄绲輥辊醌錕锟餛馄鯤鲲
昊	昊
昌	倡唱娼昌猖菖閶阊鯧鲳
明	明盟萌
昏	婚昏閽阍
易	剔埸惕易蜴裼賜赐踢錫锡
昔	借厝惜措昔猎籍藉腊蜡醋錯错鵲鹊
昙	昙
昜	場揚暢楊湯燙盪蕩鐋煬瘍碭腸陽颺餳
昝	偺昝糌
星	惺戥星猩腥醒
春	春椿蝽蠢
昬	緡缗
是	匙堤提是緹缇醍題题
昱	昱煜
昷	媪愠氲温藴蕴腽醖韫
昼	昼
显	显
時	塒時蒔鰣
晃	幌晃
晉	戩晉縉
晋	戬晋缙
晏	晏鼹
晔	晔烨
晝	晝
普	普氆譜谱鐠镨
景	影憬景
晶	晶
智	智
暑	暑
暴	暴曝瀑爆
暹	暹
曄	曄燁
曆	曆
曇	曇罎
曰	曰汩
曲	曲蛐麯
曳	拽曳
更	哽埂更梗硬筻粳綆绠鯁鲠
曷	偈喝揭曷歇蠍渴碣竭羯蝎褐謁藹靄谒蔼霭遏
書	書
曹	嘈曹槽漕糟艚螬遭
曼	墁幔慢曼漫熳縵缦蔓謾谩鏝镘饅馒鰻鳗
曾	僧噌增層憎曾甑繒缯罾贈赠蹭
替	替
最	嘬撮最蕞
朁	僭潛潜簪蠶譖谮
會	儈劊噲會檜澮燴獪繪膾薈鄶
月	刖月钥
有	侑囿宥有洧賄贿郁銪铕鮪鲔
朋	堋朋棚硼綳绷鵬鹏
服	服菔
朔	嗍塑搠朔槊溯蒴
朕	勝塍媵朕滕籐藤腾謄誊騰
朗	朗
朝	嘲廟朝潮
木	木沐
未	味妹寐昧未魅
末	抹末沫秣茉袜
本	本笨缽苯鉢钵
札	札紮
朮	怵朮术沭秫術述
朱	侏姝朱株殊洙珠硃茱蛛誅诛邾銖铢
朵	剁哚垛朵跺躲
杀	杀脎铩
杂	杂
李	李
杏	杏
束	悚束涑竦觫
条	条涤绦鲦
来	崃徕来涞睐莱赉铼
杰	杰
東	凍崬東棟腖鶇
杳	杳
松	凇崧松淞菘鬆
析	晰析淅皙菥蜥
林	啉婪漤林淋琳郴霖
枚	枚
果	倮夥果棵猓稞窠蜾裸裹課课踝錁锞顆颗騍骒髁
枣	枣
枭	枭
枼	喋堞揲渫牒碟蝶諜谍蹀鰈鲽
某	媒某煤謀谋
染	染
柔	揉柔猱糅蹂鞣
查	喳揸查楂渣猹碴餷馇齄
柬	揀柬楝煉練諫谏鍊
柰	柰
柴	柴
标	标
树	树
栗	傈慄栗溧篥
桀	傑桀
桑	嗓搡桑磉顙颡
桼	漆膝
條	條滌縧鰷
梟	梟
梦	梦
棄	棄
棗	棗
棘	棘
棠	棠
森	森
楚	憷楚礎
楞	愣楞
業	業鄴
榮	嶸榮蠑
樂	樂櫟濼爍礫藥躒轢鑠
樊	攀襻樊礬
橐	橐蠹
欠	坎莰欠砍肷芡飲饮
次	咨姿恣次瓷粢茨諮谘資资趑餈
欣	掀欣鍁锨
欮	闕阙
欶	嗽漱簌蔌
款	款
止	址扯止祉耻芷趾
正	征惩怔政整正症証证鉦钲
此	呲此疵眥眦砦紫茈訾貲赀雌髭齜龇
步	步
武	武賦赋鵡鹉
歪	歪
歰	澀
歲	劌噦歲穢
歷	嚦壢櫪歷瀝癧藶靂
歸	巋歸
歹	歹
死	死
殳	投殳骰
段	椴段煅緞缎鍛锻
殷	慇殷
殸	磬罄聲謦馨
殹	翳醫
殺	殺鎩
殿	殿澱癜臀
毀	毀毁燬譭
毄	墼擊繫
毅	毅
毋	毋
母	坶姆拇母
每	侮悔晦梅每莓誨诲酶霉
毒	毒碡纛
比	仳吡妣屁庇批枇比毙琵砒秕紕纰舭芘蚍
毕	哔毕筚荜跸
毘	媲毗篦蓖貔
毚	攙纔讒饞
毛	旄毛牦耄耗髦
毫	毫
毳	撬橇毳
氏	氏紙纸舐芪衹
氐	低坻抵柢氐牴砥祗羝胝詆诋邸骶鴟鸱
民	岷抿愍民泯珉眠苠
气	忾气汽饩
氣	愾氣餼
水	水
永	咏永泳詠
氾	氾犯範范
求	俅救求球裘賕赇逑
汇	汇
江	江茳鴻鸿
沓	沓踏
沙	娑挲桫沙痧砂紗纱莎裟鯊鲨
河	河菏
泉	泉線缐腺
法	法珐琺
波	啵婆波菠
泣	泣
泪	泪
泰	傣泰
泵	泵
洛	洛
津	津
派	派蒎
海	嗨海
浸	浸
涉	涉
涩	涩
淫	淫霪
淵	淵
淼	淼
渊	渊
渠	渠磲蕖
湿	湿
準	準
溼	溼
满	懑满
滿	懣滿
漸	漸
火	伙火鈥钬
灭	灭
灰	咴恢灰盔詼诙
灵	棂灵
灶	灶
災	災
灾	灾
炊	炊
炎	剡啖毯氮淡炎焱琰痰談谈賧赕郯錟锬
炙	炙
炭	炭碳
為	偽為
烏	嗚塢烏鄔鎢
烕	滅
烦	烦
焉	嫣焉蔫鄢
焚	焚
無	嘸嫵廡憮撫無蕪
焦	僬劁噍憔樵焦瞧礁蕉譙谯醮蘸鷦鹪
然	撚然燃
煞	煞
煩	煩
熊	熊
熏	勳壎曛熏燻獯薰醺
熙	熙
燕	嚥燕
營	營
燮	燮躞
爪	抓爪笊
爭	凈崢掙淨爭猙睜箏
爯	稱
爰	媛援暖爰瑗緩缓諼谖鍰锾
爱	嗳嫒暧爱瑷
爲	僞嬀潙爲
爵	嚼爝爵
父	斧父釜滏
爷	爷
爻	爻
爽	爽
爾	彌瀰獼爾璽禰邇
爿	妝戕爿牀狀
牆	牆
片	片
牙	伢呀岈牙砑芽蚜訝讶迓雅鴉鸦
牚	撐
牛	牛
牟	侔哞毪牟眸蛑
牡	牡
牢	牢
牧	牧
牵	牵
特	特
牽	牽縴
犀	墀樨犀
犬	犬畎
犮	拔菝祓紱绂茇跋鈸钹髮魃鮁鲅黻
狂	狂誑诳逛
狄	狄荻逖
狊	闃阒
狱	狱
猋	飆飙
猪	橥潴猪
献	献谳
獄	嶽獄
獸	獸
獻	獻讞
玄	泫炫玄痃眩絃舷鉉铉
率	摔率蟀
玉	玉玨珏鈺钰頊顼
王	旺枉汪王
班	班
瑟	瑟
瓜	呱孤菰弧狐瓜胍觚
瓦	佤瓦
甘	坩箝柑泔甘疳紺绀苷蚶邯酣鉗钳甘欠嵌
甚	勘堪戡斟椹湛甚葚諶谌
甜	甜
生	姓性旌牲生甥眚笙胜
産	剷鏟産產
甦	甦
用	佣拥用痈
甩	甩
甫	匍葡哺圃埔捕晡浦蒲甫脯莆補輔辅逋鋪铺黼
甬	俑恿捅桶涌甬痛蛹誦诵踊
甯	甯
田	佃田甸畋鈿钿
由	冑妯宙岫抽柚油由笛胄舳蚰袖軸轴迪邮釉鈾铀鼬
甲	匣呷岬押柙狎甲胛鉀钾閘闸鴨鸭
申	伸呻抻申砷神紳绅胂
电	电電
男	男
甹	俜娉聘騁骋
画	画
甾	淄甾緇缁輜辎錙锱鯔鲻
畀	淠畀痹箅
界	界
畏	偎喂煨猥畏隈餵
畐	副匐蔔富幅福蝠輻辐逼
留	籀榴溜熘留瘤遛鎦镏餾馏騮骝
畚	畚
畜	搐畜蓄
畝	畝
畟	稷謖谡
畢	嗶畢篳蓽蹕
略	略
畧	撂
番	幡播潘藩燔番皤翻蕃蟠蹯鄱
畫	劃畫
異	異翼
當	噹擋檔當襠鐺
畺	僵殭疆礓繮缰薑韁
畾	儡
疊	疊
疋	疋
疌	婕捷睫
疏	梳疏蔬
疐	嚏
疑	凝嶷擬疑癡礙
疒	疒
疟	疟
疾	嫉疾蒺
瘪	瘪
癟	癟
癸	揆暌癸睽葵闋阕
登	凳噔嶝橙澄燈登瞪磴簦證蹬鄧鐙镫
發	廢撥潑發
白	伯帕帛怕拍啪柏泊箔珀白碧粕舶迫鉑铂魄
百	佰百貊陌
皀	簋
皂	唣皂
皆	偕喈揩楷皆蒈諧谐鍇锴階
皇	凰徨惶湟煌皇篁蝗遑隍鰉鳇
皋	嗥槔皋翱
皐	皐
皮	坡帔彼披玻疲皮破簸被跛鈹铍陂頗颇
皿	皿
盃	盃
盈	楹盈
益	嗌溢益縊缢謚谥鎰镒隘
盍	嗑溘盍瞌磕豔艷闔阖
盎	盎
盐	盐
监	尴槛滥监褴
盖	盖
盗	盗
盘	盘
盜	盜
盡	儘燼盡藎贐
監	尷檻濫監艦襤鍳鑑鑒鹽
盥	盥
盧	壚廬櫨瀘爐盧臚艫蘆轤顱驢鱸鸕
目	目苜鉬钼
直	值埴植殖直置
相	厢廂想湘相箱緗缃葙
盾	循盾遁
省	省
眉	媚嵋楣湄猸眉鎇镅鶥鹛
看	看
真	嗔填慎滇真稹縝缜鎮镇闐阗顛巔癲颠巅癫
眾	眾
着	着
睘	儇圜寰擐環繯缳還鬟
睪	嶧懌擇籜澤睪繹譯釋鐸驛
睾	睾
睿	濬睿
瞢	懵瞢
瞿	懼氍癯瞿衢
矍	攫矍蠼
矗	矗
矛	懋矛茅蟊袤
矞	橘譎谲鷸鹬
矢	矢
矣	俟唉埃挨矣誒诶
知	痴知蜘踟
石	庹拓斫柘炻石硕碩磔跖
砉	砉
磊	磊
示	示祁視视
礼	礼
祘	蒜
祝	咒祝
祟	祟
票	剽嘌嫖標漂瓢瘭瞟票縹缥膘螵鏢镖飄飘驃骠鰾鳔票寸
祭	傺瘵祭際
祿	祿
禀	凛廪懔檩禀
禁	噤禁襟
禄	禄
禹	禹踽齲龋
禺	偶喁寓愚禺耦藕遇隅
离	漓璃离篱縭缡蓠螭魑
禼	竊
禽	噙擒檎禽
禾	禾
禿	禿秃
秀	秀綉绣莠誘诱透銹锈
秉	秉
秋	啾愀揪楸湫瞅秋鍬锹鞦鬏鰍鳅
科	科蝌
秦	嗪榛溱秦臻蓁螓
称	称
移	移
稚	稚
稟	凜廩懍檁稟
稣	稣
稽	嵇稽
穌	穌蘇囌
穴	穴
穷	穷
穹	穹
空	倥崆控空箜腔
穿	穿
突	突
窑	窑
窜	撺窜蹿镩
窮	窮
竄	攛竄躥鑹
立	垃砬立笠粒颯飒
竖	竖
竞	竞
竟	境獍竟鏡镜
章	嫜嶂幛彰樟漳獐璋瘴章蟑鄣障
童	僮幢憧撞潼疃瞳童艟鐘
競	競
竹	竹竺笃筑築篤
笑	笑
笔	滗笔
筆	潷筆
等	等
筋	筋
答	答
策	策
筮	噬筮
箍	箍
算	算篡纂攥
節	櫛癤節
篮	篮
籃	籃
米	咪敉眯米脒麋
类	类
粟	僳粟
粤	粤
粥	粥鬻
粦	嶙憐燐瞵磷粼膦轔辚遴鄰鱗鳞麟
粪	粪
粲	燦璨粲
粵	粵
糞	瀵糞
糸	糸
系	係系
素	嗉愫素
索	嗦索
累	嫘摞漯瘰累縲缧螺鏍镙騾骡
細	細
絕	絕
絜	潔
絲	噝絲鷥
綿	綿
縣	懸縣
繁	繁蘩
繭	繭
纍	纍
细	细
绝	绝
继	继
绵	绵
缶	缶
网	网
罔	惘網罔輞辋魍
罗	啰椤猡箩罗萝逻锣
罙	探深琛
罚	罚
罡	罡
罢	摆罢罴
罪	罪
罰	罰
署	曙署薯
罷	擺罷羆襬
羁	羁
羅	囉欏玀籮羅蘿邏鑼
羈	羈
羊	佯咩庠徉样氧洋烊痒祥羊翔蛘詳详
羋	羋芈
羌	羌蜣
美	美鎂镁
羔	禚窯糕羔
羕	樣漾
羨	羡羨
義	儀義艤蟻議
羲	曦犧羲
羸	羸蠃
羹	羹
羽	栩羽詡诩
羿	羿
翁	嗡翁蓊
翌	翊翌
翏	寥廖戮瘳繆缪膠蓼謬谬醪鷚鹨
習	摺熠習褶
翕	歙翕
翟	戳擢曜櫂濯糴糶翟耀躍
翠	翠
老	佬栳老銠铑
考	拷栲烤考銬铐
者	堵楮渚煮睹箸緒绪翥者褚賭赌赭鍺锗
耆	嗜耆蓍鰭鳍
而	恧而耐鮞鲕鴯鸸
耍	耍
耑	喘惴揣湍瑞端踹遄顓颛
耒	耒誄诔
耳	佴恥洱珥耳鉺铒餌饵
耴	輒辄
耶	揶椰爺耶
耷	耷
耿	耿
聂	嗫慑摄滠聂蹑镊颞
聖	檉聖蟶
聚	聚鄹驟骤
聯	聯
聶	囁懾攝灄聶躡鑷顳
聽	廳聽
聿	律聿
肃	啸箫肃萧潇
肅	嘯簫繡肅蕭瀟鏽
肆	肄肆
肇	肇
肉	肉
肖	俏削哨宵峭悄捎梢消硝稍潲筲綃绡肖艄蛸誚诮趙逍銷销霄鞘魈
肙	娟捐涓狷絹绢鵑鹃
肥	淝肥
肩	掮肩
肯	啃肯
育	唷毓育
肴	崤淆肴餚
胃	喟彙渭猬胃蝟謂谓
背	背褙
胡	湖煳猢瑚糊胡葫蝴醐鬍鶘鹕
胤	胤
胥	婿糈胥醑
能	態能
脈	脈
脉	脉
脊	嵴瘠脊
脩	脩
膚	膚
臣	臣
臤	堅慳鏗鰹緊腎賢
臥	卧臥
臧	臧贓
臨	臨
自	洎自
臬	臬鎳镍
臭	嗅溴糗臭
臯	臯
臱	邊籩
至	侄垤姪桎窒膣耋至蛭輊轾郅
致	緻致
臺	檯臺薹
臼	桕臼舅舊
臽	掐焰燄萏諂谄陷餡馅
臾	庾瘐腴臾萸諛谀
臿	插歃鍤锸
舀	滔稻舀蹈韜韬
舁	舁
舂	樁舂
舄	寫瀉舄
與	嶼歟舆與譽輿
興	興
舉	櫸舉
舌	憩舌
舍	啥捨猞舍舒
舛	舛
舜	瞬舜
舞	舞
舟	舟
般	搬瘢盤磐般
艮	哏垠垦很恨恳根狠痕眼艮艰艱茛裉墾懇跟銀银限齦龈
良	娘浪蒗狼琅稂粮良莨踉酿鋃锒閬阆
色	色銫铯
艳	滟艳
艾	哎砹艾
节	栉疖节
芒	硭芒
花	花
芻	皺縐芻謅趨鄒雛騶
苏	苏
苗	喵描猫瞄苗貓錨锚鶓鹋
若	偌喏惹箬若諾诺鍩锘
英	瑛英
茧	茧
茲	茲
茶	搽茶
茸	茸
荅	嗒塔搭瘩褡
草	草
荒	慌荒謊谎
荣	嵘荣蝾
荷	嗬荷
荼	荼
莫	募墓嫫寞幕冪慕摸摹暮模漠瘼糢膜莫蓦蟆謨谟貘鏌镆饃馍驀
获	获
莽	漭莽蟒
菐	僕濮噗幞撲樸璞蹼醭鏷镤
華	嘩樺華譁鏵驊
萨	萨
萬	勱癘萬蠆邁
落	落
葉	葉
著	著躇
葛	噶葛
葬	葬髒
蒐	蒐
蒙	懞朦檬濛矇礞艨蒙蠓
蒦	劐獲穫蠖護鑊镬鸌鹱
蓋	蓋
蓝	蓝
蓟	蓟
蔑	篾蔑蠛衊襪
蔡	礤蔡
蔺	蔺躏
薛	孽薛蘖
薦	薦韉
薩	薩
藍	藍
藏	臟藏贜
虍	虍
虎	唬琥虎
虏	掳虏
虐	瘧虐謔谑
虑	摅滤虑
虒	搋篪褫遞
虔	虔
處	處
虖	滹罅
虚	嘘虚觑
虛	噓虛
虜	擄虜
號	號饕
虧	虧
虫	虫融蟲
虱	虱蝨鯴鲺
虽	虽
蚤	搔瘙蚤騷骚鰠鳋
蚩	嗤媸蚩
蛊	蛊
蛋	蛋
蜀	濁燭獨蜀觸躅鐲镯髑
蜜	蜜
蠡	蠡
蠱	蠱
血	卹恤洫血
衅	衅
衆	衆
行	桁珩絎绗荇行衡蘅
衍	愆衍
衛	衛
衣	依衣銥铱
表	婊表裱錶
衮	滚磙衮
衰	榱簑蓑衰
袁	園猿袁轅辕遠
袅	袅
袞	滾袞
裊	嬝裊
裔	裔
褱	壞懷
襄	嚷壤孃攘曩瓤禳穰襄讓釀鑲镶驤骧
西	哂晒栖洒牺硒粞舾茜西
要	崾腰要
覃	潭簟罈蕈覃譚谭鐔镡
見	峴梘現硯筧莧蜆見
規	窺規
覓	覓
親	櫬襯親
覽	攬欖纜覽
见	岘枧现砚笕舰苋蚬见
规	窥规
觅	觅
览	揽榄缆览
角	桷确角
觜	嘴觜
解	廨懈獬蟹解邂
言	唁狺言這
訇	訇
設	設
詹	儋擔檐澹瞻簷膽蟾詹譫谵贍赡
諸	儲櫧諸
讲	讲
设	设
诸	储槠诸
谷	俗峪欲慾浴裕谷鵒鹆
豆	痘短豆逗頭
豈	凱剴塏愷榿皚覬豈鎧
豊	澧禮醴體鱧鳢
豎	竪豎
豐	灃豐酆
豕	豕
豖	冢塚啄涿琢瘃諑诼
豚	豚
象	像橡蟓象
豦	劇噱據璩遽蘧醵
豪	嚎壕濠蠔豪
豬	櫫瀦豬
豸	豸
貌	藐貌邈
貝	唄敗狽貝鋇
貞	偵幀楨湞禎貞
負	負
貢	槓貢
貪	貪
貫	慣摜貫
責	債嘖幘漬磧積簀績責賾蹟
貳	膩貳
貴	憒潰簣繢聵蕢貴饋
買	蕒買賣
費	費鐨
賁	僨噴墳憤賁鱝
賈	價賈
賊	賊
賏	罌
賓	儐嬪擯檳殯濱繽臏賓鑌髕鬢
賞	償賞
質	質躓
賴	懶瀨獺癩籟賴
贅	贅
贊	攢瓚纘讚贊趲躦鑽
贛	戇贛
贝	呗坝狈贝败钡
贞	侦帧桢浈祯贞
负	负
贡	贡
责	债啧帻渍碛箦绩责赜
质	质踬
贪	贪
贯	惯掼贯
贰	腻贰
贲	偾喷愤贲鲼
贵	匮愦溃篑缋聩蒉贵馈
费	费镄
贼	贼
贾	贾
赏	赏
赖	懒濑獭癞籁赖
赘	赘
赞	攒瓒缵赞趱躜
赣	戆赣
赤	哧赤赦螫郝
赫	嚇赫
走	走
赵	赵
越	樾越
足	促捉浞足齪龊
路	潞璐路露鷺鹭
身	身
躬	躬
車	厙庫褲硨車
軍	惲揮暈暉渾琿皸葷諢軍輝運鄆
軎	軎
軟	軟
輦	攆輦
轟	轟
车	厍库裤砗车
软	软
轰	轰
辇	撵辇
辛	莘辛鋅锌
辜	辜
辞	辞
辟	僻劈噼壁嬖擗擘檗蘗璧甓癖臂薜襞譬辟避鐾闢霹
辡	瓣辦辨辩辫辮辯
辣	辣
辥	櫱
辭	辭
辰	唇娠宸振晨脣蜃賑赈辰震
辱	溽縟缛耨蓐褥辱
農	儂噥濃膿農
边	笾边
达	哒挞跶达闼鞑
过	挝过
这	这
进	进
连	涟琏莲裢连链鲢
迷	瞇謎谜迷醚
追	槌縋缒追
退	煺腿褪退
送	送
适	适
逆	逆
逐	逐
通	嗵通
速	速
造	糙造
逢	篷縫缝蓬逄逢
連	漣璉蓮褳連鏈鰱
進	進
逸	逸
遀	髓
遂	燧遂邃隧
過	撾過
道	導道
達	噠撻躂達闥韃
遗	遗
遣	繾缱譴谴遣
遲	遲
遷	躚遷韆
遺	遺
邑	悒挹邑
邓	邓
邕	邕
那	哪娜挪那
邦	帮梆綁绑邦
邪	琊邪
郎	啷廊榔瑯螂郎
郑	掷踯郑
郭	崞廓椁槨郭
郵	郵
都	嘟都
鄉	嚮薌鄉響饗
鄭	擲躑鄭
酉	酉酒醜
酋	猶蕕猷蝤遒酋
配	配
酥	酥
釁	璺釁
采	彩採睬綵菜踩采
里	俚厘喱哩娌悝狸理裏裡貍霾里釐鋰锂鯉鲤
重	動慟種腫董懂衝踵重鍾锺
量	糧量
金	欽撳淦金銜錦
錄	錄
録	録
钅	衔钅钦揿锦
長	倀帳張漲悵棖脹萇賬長
长	伥帐张涨怅枨胀苌账长
門	們問悶燜捫聞鍆門閩閿
閃	閃
閉	閉
閏	潤閏
閑	嫻閑
閒	癇閒鷳竹閒
間	澗簡襇鐧間
閔	憫閔
閵	藺躪
閻	閻
闌	攔斕欄瀾爛蘭讕鑭闌
闖	闖
门	们扪钔门问闷焖闻闽阌
闪	闪
闭	闭
闯	闯
闰	润闰
闲	娴痫闲鹇
间	涧简裥锏间
闵	悯闵
闹	闹
阋	阋
阎	阎
阑	斓澜谰镧阑
阜	埠阜
队	坠队
阳	阳
阴	荫阴
阵	阵
阿	啊婀屙痾錒锕阿
际	际
陆	陆
陈	陈
降	降
陏	堕椭随
陡	陡
陣	陣
除	滁除
陰	蔭陰
陳	陳
隆	癃窿隆
隊	墜隊
隋	墮橢隋隳
隐	瘾隐
隨	隨
隱	癮隱
隶	埭棣逮隶
隸	隷隸
隹	唯堆帷惟推椎淮匯睢濉碓維濰维潍萑誰谁錐锥隹雖騅骓
隺	榷確鶴鹤
隻	隻
隼	榫隼
隽	鎸镌隽
难	傩摊滩瘫难
雀	雀
雁	贋赝雁
集	集
雇	僱雇顧
雉	雉
雋	鐫雋
雍	壅擁甕臃蕹雍饔
雔	售讎雠
雙	雙
雚	勸權歡灌獾罐觀顴颧鸛鹳
雜	雜
雝	癰
離	灕籬蘺離
難	儺攤灘癱難
雨	雨
雩	樗雩
雪	雪鱈鳕
雲	蕓雲
零	零
雷	擂檑蕾鐳镭雷
需	儒嚅孺懦濡糯薷蠕襦需顬颥
霍	嚯攉藿霍
霜	孀霜
霝	酃
霸	壩灞霸
靈	欞靈
青	倩圊婧情晴氰清猜睛箐精腈菁蜻請请錆锖青靓靖静靚靜鯖鲭
非	俳匪榧篚啡徘悱扉斐痱緋绯翡腓菲蜚裴誹诽輩辈霏非鯡鲱
靡	蘼靡
面	湎緬缅腼面靦麵
革	緙缂革
韋	偉圍潿幃煒瑋緯葦諱違闈韋韙
韦	伟围涠帏炜玮纬苇讳违闱韦韪
韭	韭
韰	瀣薤
韱	懺殲籤纖讖谶
音	喑揞暗歆窨諳谙音黯
頁	頁
頃	傾潁穎頃
須	須鬚
頪	類
頹	頹頽
頻	瀕蘋頻顰
顥	灝顥
页	页
顷	倾顷颍颖
须	须
顾	顾
频	濒频颦
颓	颓
颢	灏颢
風	嵐楓瘋碸諷風
风	岚枫疯砜讽风
飛	飛
飞	飞
食	蝕食飭飾
養	癢養鮝鯗鲞
饣	蚀饣饬饰
首	艏首
香	香
馬	嗎媽榪獁瑪碼罵螞馬駡
馭	馭
馮	憑馮
马	吗妈杩犸玛码蚂马骂
驭	驭
骨	滑猾骨鶻鹘
高	搞敲槁犒稿篙縞缟膏蒿嚆藁鎬镐高
髟	髟
鬥	鬥
鬧	鬧
鬩	鬩
鬯	鬯
鬱	鬱
鬲	嗝塥翮膈鎘镉隔鬲
鬼	傀塊愧槐瑰隗餽鬼魁
魏	巍魏
魚	漁魚
魝	薊
魯	嚕擼櫓氌穭鑥魯
鮮	癬蘚鮮
鱼	渔鱼
鲁	噜撸橹氇镥鲁
鲜	癣藓鲜
鳥	蔦鳥
鳳	鳳
鳴	鳴
鴈	贗
鸟	茑鸟
鸡	鸡
鸣	鸣
鹵	滷鹵
鹿	漉簏轆辘鹿麓
麀	鏖
麃	鑣镳
麇	麇
麗	儷曬灑邐酈釃驪鱺鸝麗
麥	嘜麥
麦	唛麦
麻	嘛摩痲磨耱蘑糜縻魔麻麼嬤麽嬷麾
黃	橫潢璜癀磺簧蟥黃黌
黄	横黄黉
黍	黍
黎	藜黎
黑	嘿黑默
黨	儻讜黨
黹	黹
黽	澠繩蠅黽
黾	渑绳蝇黾
鼎	鼎
鼓	瞽臌鼓
鼠	鼠
鼻	濞鼻
齊	儕劑嚌擠濟臍薺蠐躋霽鱭齊齋齎齏
齐	侪剂哜挤斋济脐荠蛴赍跻霁鲚齐齑
齒	嚙齒
齿	啮齿
龍	嚨壟壠寵攏朧櫳瀧瓏矓礱籠聾蘢隴龍龐
龙	咙垄宠庞拢栊泷珑砻笼聋胧茏陇龙
龜	鬮龜
龟	阄龟
龠	瀹鑰龠龥籲
龹	券拳桊眷豢
𠂔	姊秭笫
𠂢	哌
𠤎	叱
𠩺	嫠犛
𡿺	堖惱瑙硇腦
𢛳	德
𢦏	栽裁載载
𣪘	廄
𤇾	塋滎煢熒瑩瀅縈潆瀠螢鎣鶯
𥁕	媼慍氳溫蘊膃醞
𦥯	嚳學澩覺攪鱟
𦰩	嘆歎漢
𧶠	櫝瀆牘犢竇續覿讀贖黷
𬜯	瞒螨蹒颟
